地市州,年份,地区生产总值GDP（亿元）,人均 GDP（元）,GDP 增长率（%）,第二产业占 GDP 比重（%）,第三产业占 GDP 比重（%）,财政预算收入（亿元）,人均财政收入（元）,实际外商直接投资（亿美元）,外贸进出口总额（亿美元）,社会消费品零售总额（亿元）,人均批发零售总额（元）,城镇居民人均可支配收入（元）,农村居民人均可支配收入（元）,人均金融机构存款余额（元）,货物周转量（亿吨公里）,旅客周转量（亿人公里）,邮电业务总量（亿元）,旅游人数（万人次）（2021年后未统计入境旅游人数）,城乡人口总数（万人）,城镇人口占总人口比重（%）,高等教育在校人数（万人）,财政科学技术支出（亿元）
鄂州,2022,0.0206,0.6834,0.5602,0.995,0.1527,0.0178,0.5223,0.005,0.0064,0.0137,0.5624,0.2982,0.5289,0.2146,0.0093,0.0017,0.0073,0.0065,0.0174,0.5696,0.008,0.0028
鄂州,2023,0.0206,0.6834,0.594,0.6505,0.3841,0.022,0.6625,0.0008,0.0084,0.015,0.6167,0.3676,0.6109,0.2572,0.0131,0.0024,0.0083,0.01,0.0174,0.5888,0.0082,0.0129
荆门,2020,0.0313,0.2938,0.1805,0.8433,0.0598,0.0193,0.1702,0.01,0.0126,0.0273,0.4444,0.1591,0.3873,0.1879,0.0095,0.0044,0.0044,0.0219,0.0435,0.3684,0.0106,0.0206
荆门,2021,0.0348,0.3983,0.7744,0.7235,0.1798,0.0253,0.2603,0.0124,0.021,0.0339,0.572,0.2539,0.4876,0.2249,0.0078,0.0038,0.0048,0.0285,0.0426,0.3931,0.0123,0.0138
荆门,2022,0.0362,0.4298,0.406,0.7174,0.1753,0.0253,0.2602,0.0028,0.0301,0.0351,0.5928,0.3165,0.5669,0.2818,0.0128,0.0038,0.0053,0.0266,0.0426,0.4073,0.0133,0.0209
荆门,2023,0.0374,0.4517,0.6203,0.6144,0.2741,0.0302,0.3307,0.0018,0.0234,0.0383,0.6497,0.3838,0.6492,0.3336,0.0153,0.0048,0.0058,0.0456,0.0427,0.4277,0.0132,0.0225
孝感,2020,0.0361,0.1206,0.1992,0.6402,0.1653,0.0245,0.1031,0.0234,0.0161,0.0377,0.3649,0.1418,0.2566,0.0767,0.0055,0.0078,0.0062,0.0234,0.0722,0.4102,0.0189,0.0215
孝感,2021,0.0422,0.2231,0.8722,0.6452,0.1876,0.0333,0.1832,0.0288,0.0211,0.0469,0.4715,0.2466,0.3586,0.1068,0.0062,0.0057,0.0067,0.0313,0.0708,0.4282,0.0193,0.0237
孝感,2022,0.0458,0.269,0.5639,0.7262,0.1308,0.0339,0.189,0.0132,0.0261,0.0493,0.4985,0.3261,0.4295,0.145,0.0069,0.0035,0.0073,0.032,0.0707,0.4453,0.0193,0.0259
孝感,2023,0.0482,0.2976,0.6203,0.6179,0.25,0.0403,0.246,0.0113,0.0302,0.0545,0.557,0.4008,0.5094,0.1842,0.0076,0.0014,0.0082,0.0426,0.0705,0.4669,0.0194,0.0279
荆州,2020,0.039,0.0897,0.1466,0.4401,0.2296,0.0258,0.0726,0.007,0.0175,0.0454,0.3566,0.1151,0.3347,0.0921,0.0661,0.0136,0.0074,0.0445,0.0886,0.2912,0.0673,0.0192
荆州,2021,0.0448,0.1577,0.8195,0.3767,0.2793,0.0338,0.1322,0.0171,0.0228,0.0579,0.4748,0.2264,0.4427,0.1202,0.0738,0.0125,0.0081,0.0681,0.087,0.3152,0.0747,0.0262
荆州,2022,0.0496,0.2073,0.5602,0.5027,0.1731,0.0351,0.1418,0.0067,0.0312,0.0609,0.5015,0.2989,0.5195,0.162,0.0994,0.0098,0.0088,0.065,0.087,0.3296,0.0807,0.0381
荆州,2023,0.052,0.2296,0.609,0.4547,0.2103,0.0419,0.1897,0.0077,0.0311,0.0672,0.557,0.3682,0.5998,0.2054,0.1203,0.0107,0.0099,0.0854,0.087,0.3551,0.0917,0.0388
黄冈,2020,0.0357,0.0229,0.1203,0.4604,0.1698,0.0255,0.0498,0.0048,0.0096,0.0414,0.2822,0.0071,0.1482,0.081,0.0393,0.0104,0.0107,0.0385,0.0998,0.0995,0.021,0.007
黄冈,2021,0.0419,0.0871,0.8872,0.3533,0.2879,0.0349,0.1114,0.0057,0.0148,0.0515,0.3662,0.102,0.2279,0.1117,0.0447,0.0126,0.0108,0.0464,0.0982,0.126,0.023,0.0103
黄冈,2022,0.0453,0.1184,0.5526,0.4555,0.1876,0.0348,0.1111,0.0026,0.0199,0.054,0.3859,0.1696,0.2912,0.1518,0.0447,0.0085,0.0115,0.0461,0.0982,0.1447,0.0252,0.015
黄冈,2023,0.0476,0.1372,0.594,0.3641,0.2771,0.0442,0.1697,0.0035,0.022,0.0596,0.4293,0.2336,0.3586,0.1897,0.0603,0.0083,0.0132,0.0628,0.0982,0.1705,0.0271,0.0246
咸宁,2020,0.0249,0.2072,0.1842,0.717,0.1423,0.0171,0.1327,0.003,0.0108,0.0216,0.3367,0.0535,0.2235,0.0793,0.0041,0.0058,0.0061,0.0769,0.0445,0.3205,0.0188,0.013
咸宁,2021,0.0287,0.2704,0.8496,0.6747,0.211,0.023,0.2188,0.0042,0.0144,0.0286,0.4641,0.16,0.3219,0.1002,0.0045,0.0056,0.0059,0.0729,0.0438,0.3352,0.0239,0.0149
